[-0.49456381 -1.14827022 -0.18014908  0.78309534 -1.22258066  0.29061069] -281.84964495714064
[ 2.10828957 -0.91280595 -1.08828152 -2.36886152  0.31174186  0.238567  ] -238.5198471531872
[ 2.92099335  0.11201976 -1.76141419 -2.01446149  0.63995907 -0.18214161] -244.83414541803685
[ 2.40822343 -0.30326358 -1.23555379 -2.50543514  0.02883354  0.64410253] -241.7408955135273
[ 2.89691803  0.06984163 -2.87797653 -3.37826618  0.63948436  0.35332444] -249.67785908664897
[ 1.88918245 -0.00705834 -0.7465944  -1.15174874  0.1472823   0.42619167] -241.64957674767888
[ 2.34964883 -0.86086371 -1.57967574 -3.22067079 -0.26285128  0.61590592] -249.9645429368215
[ 2.12318755  0.28859333 -1.28552478 -1.34015464  0.46002482  0.33958075] -242.15460914101786
[ 3.0703864  -0.01594987 -1.61733952 -2.91860697  0.89446449  0.21752665] -244.22783867750334
[ 1.72520978 -0.22835397 -0.99163964 -2.30210078  0.11209757  1.10217493] -238.9707115019178
[ 1.12742453 -0.17118571 -0.92714769 -1.19245323 -0.40319682  0.99738942] -245.98993570172638
[ 2.58464593 -0.05475883 -1.44479156 -2.48706854  0.57004916  0.41249235] -240.79120445193536
[ 1.94023957 -1.00736424  0.02173892 -1.38691001  0.12952015  0.16023839] -238.13442966406893
[ 1.74068935 -1.81178725  1.17554212 -0.74792512 -0.01263125 -0.20670808] -240.5973589787302
[ 2.09540936 -1.12646163 -0.54284922 -2.72722026 -0.02684996  0.6550082 ] -240.7881971929224
[ 1.70610212 -0.80900407 -0.36191868 -1.63586814  0.38578016  0.35412165] -236.65680541223557
[ 1.35504147 -1.06187432  0.07489888 -1.20108464  0.56425347  0.2091312 ] -236.7803732301313
[ 2.16411633 -1.37252456 -0.72265284 -3.15092767  0.34683068  0.54800917] -239.56227676872123
[ 1.32847632 -1.76407931  0.21625723 -2.03689426 -0.15034235  0.60688077] -240.104364260678
[ 1.56206853 -0.90491574 -0.43264962 -1.56663386  0.40539265  0.34832243] -236.61235955016872
[ 1.29539812 -0.79414279 -0.37754983 -0.98634066  0.62151395  0.19497955] -238.63389565333628
[ 2.40686565  0.0190898  -1.40805836 -2.1002064   0.71413003  0.31026376] -240.45422196577024
[ 1.59807365 -1.31828703 -0.18982166 -2.05272229  0.06577575  0.53272651] -237.59035235044774
[ 1.38254475 -0.35438578 -0.2915379  -0.62010453  0.12327203  0.36404113] -243.23290949788205
[ 1.96872343 -1.11798986 -0.6148741  -2.51822189  0.29094102  0.50201716] -237.15646708605846
[ 1.90262251 -1.79510166  0.10303741 -1.54097179  0.41761962 -0.39017721] -236.25949621833806
[ 1.99132887 -2.57847551  0.65037594 -1.1604073   0.57038064 -1.13635328] -237.47824663653694
[ 1.45098704 -1.40474825  0.59678561 -1.1982478   0.25326792  0.26384931] -237.05483584917135
[ 1.45595286 -1.4426513  -0.3215526  -2.11731192  0.47673889  0.37671489] -234.81928743037423
[ 1.21380951 -1.66029484 -0.49319836 -2.48251288  0.65034826  0.48495314] -234.20269174077933
[ 1.67003073 -1.24573111 -0.21111758 -1.59476316  0.73534079 -0.01169769] -235.26517843301286
[ 1.19981672 -1.48860869  0.34852036 -0.82144399  0.65830879 -0.15222662] -237.88298899404927
[ 1.77649676 -1.21064457 -0.37402549 -2.09402741  0.38278296  0.33845622] -235.69651056835554
[ 1.82605636 -1.13714908 -1.18674305 -2.44001128  0.73915356  0.1108102 ] -236.25259257703485
[ 1.61092601 -1.84227492 -0.50298022 -2.27043865  0.72443245 -0.06056595] -234.4185149324888
[ 1.77124543 -2.05881632 -0.4556928  -2.57427453  0.81116657 -0.19106286] -234.77147411058502
[ 1.38689909 -1.25653528 -1.17762325 -2.94437084  0.93012191  0.61380823] -234.70111737785726
[ 1.31707949 -1.95428327  0.11519715 -2.21345122  0.67224409  0.28048683] -233.29186577247077
[ 1.06259105 -2.36285036  0.76616725 -2.10017118  0.63878936  0.36532514] -233.4011827074591
[ 1.2135     -2.12866734 -0.5344462  -2.59924301  1.12510174  0.03351768] -232.87532725407462
[ 0.93200162 -2.58767873 -0.61465656 -2.85185081  1.49626113 -0.11895159] -232.68710483742368
[ 1.07395631 -2.54089668 -0.83186709 -3.51753648  1.02618401  0.34792029] -238.10710242370502
[ 1.52101213 -1.5695225  -0.36630496 -2.07545649  0.8080516   0.07820681] -233.84277468460994
[ 0.88933052 -1.56471353 -0.55749593 -2.37175243  0.94931991  0.61704202] -233.0130445897137
[ 1.10782067 -2.46972064  0.37114362 -1.81078332  0.8367639  -0.18675114] -233.43561770801787
[ 0.71609197 -2.09312958 -0.01212479 -2.33149707  1.07989718  0.44556131] -232.16415860638676
[ 0.26867495 -2.2185569   0.23330292 -2.36202627  1.25762954  0.69862494] -232.26471950258772
[ 0.94730262 -2.41938791  0.1384512  -2.06908424  1.29716434 -0.1130884 ] -232.43101289582205
[ 0.4488635  -2.79344872  0.17980986 -2.47401654  1.30249859  0.22989287] -232.13312631123063
[-0.08721081 -3.40541183  0.45286727 -2.67329656  1.54972208  0.3057359 ] -233.42750913476016
[ 0.64240257 -2.00115993 -0.62141664 -2.95976745  1.42903118  0.63373216] -231.88890336064384
[ 0.40969352 -1.76687958 -1.11769677 -3.53425952  1.72516481  1.04397381] -232.7040695171315
[ 0.20825145 -2.53222286 -0.6110081  -2.80587163  1.84581335  0.28424263] -232.41163990006717
[ 0.40897405 -3.24429572  0.04384758 -2.79227681  1.86756867 -0.16324569] -232.17304302527225
[ 0.19196044 -2.44020284  0.3205096  -2.29232043  1.44439664  0.55798321] -232.2702829339232
[-0.07512129 -2.61543197 -0.37191204 -3.14949907  1.69257086  0.77581056] -232.58168574801448
[ 0.69169664 -2.46839893  0.01086039 -2.33918794  1.39601597  0.10913634] -231.91251460135518
[ 0.82507828 -2.48132238  0.58483677 -2.25715045  0.99398939  0.32011077] -232.10642837160955
[ 1.05240857 -2.58704891 -0.25857187 -2.75897832  1.24527035 -0.03292063] -232.559581181158
[ 0.40707247 -2.47691436  0.17573923 -2.4089849   1.39461507  0.41025725] -231.7779609887854
[ 0.83476109 -1.52716224  0.06205402 -2.13125797  0.66444712  0.87947593] -233.5637904318372
[ 0.51542081 -2.81501235  0.04839919 -2.6270221   1.56678828  0.09743471] -231.68536799424157
[ 0.46075279 -2.91895598  0.13820106 -2.69054606  1.61441565  0.15462673] -231.5400061200125
[ 0.33308319 -3.33186918  0.21336399 -2.87007056  1.88167488  0.00915944] -231.84161025340677
[ 0.73194435 -2.26047259 -0.06760319 -2.6202031   1.49578659  0.34520645] -231.37042626690547
[ 0.87348477 -1.99398452 -0.19130972 -2.69329638  1.5924306   0.40286324] -231.61294765113206
[ 0.32468493 -2.49898234 -0.69011009 -2.95808674  1.97156152  0.26335378] -232.36638003306265
[ 0.69997994 -2.48573737  0.26610005 -2.43238452  1.23838243  0.30592152] -231.60468585056475
[ 0.46082767 -2.51768527 -0.03105383 -2.90711477  1.51699043  0.53992327] -231.2981821339068
[ 0.34539318 -2.54232843 -0.05201094 -3.19107818  1.57747766  0.75531673] -231.56945149428037
[ 0.44959677 -3.15709937  0.79801081 -2.26898437  1.51329497 -0.01594218] -232.15944293849492
[ 0.59420112 -2.29014479 -0.26655978 -2.78707168  1.45009712  0.47131357] -231.49375496094353
[ 0.74730309 -2.61908842 -0.14657806 -2.94579584  1.5662051   0.22788483] -231.4319099189671
[ 0.71624884 -2.21568245 -0.08423044 -2.83401655  1.39383749  0.58419075] -231.15417563457686
[ 0.81666285 -1.91601751 -0.15054526 -2.93751378  1.30736209  0.82756876] -231.20984651822644
[ 0.53711267 -2.45493913 -0.41870813 -3.16253148  1.7740617   0.46846034] -231.36295955588906
[ 0.80179313 -1.86704824 -0.47644554 -3.06169841  1.45124383  0.72436634] -231.52929114414619
[ 0.71653304 -2.13002517 -0.32278389 -2.96891032  1.49203678  0.58193144] -231.30965486903685
[ 0.7091221  -2.44248622 -0.09042607 -3.02578567  1.62954224  0.44455212] -230.988476780727
[ 7.66582588e-01 -2.51865693e+00 -2.35921601e-03 -3.14514267e+00
  1.71926480e+00  4.31171392e-01] -230.8489787738134
[ 0.56244663 -2.08006543 -0.16233484 -2.93351046  1.56445417  0.75574305] -231.0196215186069
[ 0.52130613 -2.37854554 -0.27288692 -3.36353899  1.65776186  0.77526696] -231.38644061149947
[ 0.67928479 -2.28999083 -0.11892413 -2.80603707  1.53628041  0.45272158] -231.15056361391316
[ 0.76352851 -2.12909623  0.17814602 -2.70237914  1.30022632  0.64676681] -231.0409084885218
[ 0.5997733  -2.45370054  0.24919841 -2.80715656  1.51831442  0.55490751] -230.7994198661768
[ 0.54139343 -2.61553822  0.53518956 -2.72627968  1.53145324  0.54139554] -230.75957091967834
[ 0.88233393 -2.0986581   0.14621615 -2.80867376  1.49818171  0.59740644] -230.76034132083882
[ 0.68227446 -2.36165279  0.27620829 -2.87332437  1.65611606  0.55754419] -230.60487052785044
[ 0.66528727 -2.43463796  0.45642765 -2.89297828  1.78725535  0.54422091] -230.56917790420647
[ 0.71457266 -2.33556013  0.5026859  -2.93028426  1.59733145  0.71951314] -230.30478471386675
[ 0.73221659 -2.35834478  0.81349091 -2.99240785  1.62785697  0.85290892] -230.06714727864244
[ 0.61989164 -2.57287091  0.41739739 -3.13061843  1.94259575  0.59418194] -230.36304293501573
[ 0.84012185 -2.78617021  0.95112232 -2.96518977  1.80441511  0.431352  ] -230.34433956840758
[ 0.66049898 -2.43674979  1.10897388 -2.69357325  1.67798791  0.75598386] -230.56063275171226
[ 0.47080266 -2.96944586  1.28131776 -2.99167533  1.9590064   0.64260795] -230.47836983674708
[ 0.7882129  -2.57053495  1.14105375 -3.16253462  2.06825259  0.73235632] -230.38495383566496
[ 0.70529427 -2.79673421  1.44802435 -3.08568814  1.90611623  0.79224275] -230.13442102124085
[ 0.72501432 -2.91461718  0.90849495 -3.41579813  2.09142644  0.5925661 ] -230.19577623114503
[ 0.99944787 -2.36364489  0.6118768  -3.25907032  1.85454797  0.68926139] -230.17463161222435
[ 0.75244928 -2.69359244  0.57574849 -3.12038959  1.6740669   0.58514805] -230.346659113783
[ 0.96495643 -2.73149699  1.35218856 -3.14889617  1.71021412  0.72031113] -230.09834701569608
[ 0.9032345  -2.62341031  1.4526508  -3.1686272   1.99079205  0.77439938] -230.27352932377946
[ 0.83659947 -2.47657924  1.24445313 -3.3916395   1.92256949  1.04254455] -229.7836869147437
[ 0.83483828 -2.32178376  1.39111853 -3.60486437  1.98164667  1.34814083] -229.7778792272159
[ 0.75068809 -2.53879696  0.7224139  -3.33361446  1.73314409  0.89074432] -230.05637421177653
[ 0.93746619 -2.12231668  1.20454273 -3.05904897  1.51308225  1.17197034] -229.97918530811614
[ 0.64237208 -2.59284624  1.6987162  -3.149103    1.63613881  1.23617804] -230.31385199616003
[ 0.91017892 -2.42094522  0.88358665 -3.23157849  1.79994568  0.82599055] -229.90407117083225
[ 1.00482056 -2.03449392  0.67442274 -3.3711153   1.54918036  1.14444595] -230.16649817310164
[ 0.78017584 -2.60617414  1.25462395 -3.15704493  1.81688227  0.88029355] -229.90294896347487
[ 0.68356488 -2.05795686  0.737737   -3.31062352  1.78063852  1.26970504] -229.86837568895746
[ 0.90008748 -2.33097976  1.25118334 -3.57318373  1.91392285  1.27603929] -229.7386044696058
[ 0.98402292 -2.31729725  1.47002955 -3.86357166  2.05695579  1.48760448] -229.95874559513467
[ 0.93141577 -2.08125518  1.51851684 -3.31183354  1.86889533  1.36663555] -230.08550832290425
[ 0.79587001 -2.42441151  0.92143963 -3.32816923  1.7670819   1.00971713] -229.8198513908235
[ 0.69743895 -2.59843374  0.9420203  -3.67610578  2.17362372  1.03132512] -229.8316178203115
[ 0.65381289 -2.35896803  1.28245427 -3.65175203  2.01131963  1.44574977] -229.74293971590643
[ 0.74169499 -2.09133709  0.92069374 -3.89118796  2.0591955   1.57993218] -229.88048673625477
[ 0.7513152  -2.22004635  1.0041763  -3.7076522   1.99861719  1.40502252] -229.74080130164555
[ 0.86088939 -2.69358419  1.52639379 -3.86995226  2.1680988   1.23562651] -230.08645006630042
[ 0.72789601 -2.21686369  0.9349012  -3.45045571  1.87750359  1.26118541] -229.7229005969072
[ 0.85716767 -2.0259173   1.31973746 -3.42925331  1.6764069   1.55062653] -229.92464719844736
[ 0.73737113 -2.45530463  1.03644959 -3.61439266  2.04931951  1.16115047] -229.72705824704784
[ 0.73923698 -2.21023723  1.37865478 -3.87259767  2.17702792  1.6227123 ] -229.857123072481
[ 0.78171175 -2.37086794  1.03574342 -3.46427634  1.8695684   1.16296592] -229.72708317227617
[ 0.68255987 -2.32922637  0.7905175  -3.54903985  1.92510372  1.22256364] -229.74236369993073
[ 0.87316759 -2.28212822  0.73520284 -3.4679148   1.86669213  1.05055932] -229.8230050472918
[ 0.70865157 -2.33975808  1.14564141 -3.60579272  1.97516275  1.34695215] -229.70258777466873
[ 0.85311784 -2.31538044  1.34551425 -3.5895446   1.96959438  1.31520829] -229.76786493792176
[ 0.72519936 -2.32576489  0.92926669 -3.55916604  1.93622639  1.2457248 ] -229.70835219478388
[ 0.77565723 -2.45979998  1.10688559 -3.38143687  1.87528398  1.07965016] -229.72743560524276
[ 0.58540821 -2.39180665  0.81177929 -3.45198972  1.94709869  1.14317034] -229.77615398887994
[ 0.82141766 -2.34618648  1.14133233 -3.54288523  1.92221681  1.24282206] -229.70498545029182
[ 0.72509193 -2.22511526  0.96755929 -3.6975527   2.00138184  1.39395011] -229.73779909325376
[ 0.76301591 -2.4011288   1.07205401 -3.46046582  1.90680844  1.15822515] -229.70490577440236
[ 0.71280546 -2.32413425  1.05080499 -3.61344305  2.01951076  1.30905409] -229.6836192734101
[ 0.67835231 -2.3007674   1.05833578 -3.68802641  2.09448194  1.38209818] -229.69070585364787
[ 0.74895752 -2.1959741   1.05488396 -3.46301019  1.8298234   1.36017075] -229.71647692456392
[ 0.76545315 -2.42745184  1.1964266  -3.63113198  1.98574593  1.29313092] -229.71445795059327
[ 0.74989018 -2.52550068  1.12362472 -3.67461809  2.08540029  1.17179898] -229.7529510557293
[ 0.74919069 -2.27835575  1.07206915 -3.51591217  1.89371763  1.31307781] -229.6930297464278
[ 0.72797373 -2.24432424  0.9406296  -3.4680897   1.89880167  1.24548776] -229.71637304558513
[ 0.7560833  -2.38166994  1.13247735 -3.59037141  1.96400986  1.28122013] -229.6957789406472
[ 0.77852216 -2.36464621  1.27552639 -3.55045743  1.95758237  1.30472567] -229.70804549418975
[ 0.76519146 -2.35492588  1.18896147 -3.55263458  1.95224337  1.28997545] -229.6942721092229
[ 0.6635618  -2.34713775  1.07933713 -3.56998803  1.9816008   1.3233462 ] -229.68707265418678
[ 0.68881218 -2.27419841  1.15104315 -3.68891483  2.02193995  1.46298346] -229.7088723160189
[ 0.74446498 -2.3693962   1.0918013  -3.51757808  1.93559132  1.23441473] -229.69109382986355
[ 0.75511433 -2.34544851  1.05950905 -3.51418305  1.94039516  1.23674398] -229.67872831571322
[ 0.7783457  -2.34829373  1.01644287 -3.46837821  1.92301136  1.1816399 ] -229.68272815871362
[ 0.70735961 -2.29146284  1.04835035 -3.50420824  1.94367648  1.28765062] -229.68790262929224
[ 0.67897416 -2.29705255  0.94499586 -3.52580296  1.95258734  1.27812036] -229.68989065938925
[ 0.67156942 -2.37985496  1.01953041 -3.5658223   2.03073633  1.24336552] -229.68726907147717
[ 0.65199661 -2.29230075  0.97570797 -3.5802378   2.02057764  1.3250122 ] -229.6852867903268
[ 0.70849492 -2.36306046  1.13275078 -3.59015787  2.02624505  1.29693718] -229.68395393555448
[ 0.6804879  -2.39251605  1.05752976 -3.64040246  2.06267876  1.29050244] -229.6822818503383
[ 0.71925092 -2.3083443   1.09901615 -3.60364845  1.98626639  1.35049984] -229.67938272138488
[ 0.74582158 -2.32813036  1.0457691  -3.61070287  2.03695712  1.27957037] -229.68490827436736
[ 0.78866176 -2.39491056  1.17275198 -3.61060811  2.00344011  1.2627571 ] -229.69864320581317
[ 0.6861629  -2.3179532   1.02496897 -3.58783038  2.01629325  1.30944843] -229.67807811780605
[ 0.67495056 -2.35568857  1.09575747 -3.57251889  1.98017267  1.31815828] -229.68726200456487
[ 0.72810382 -2.33501991  1.05826619 -3.60115687  2.02276101  1.28921735] -229.67892214142128
[ 0.71881353 -2.31141161  0.98394759 -3.59673022  1.9897234   1.2982182 ] -229.67826914183092
[ 0.71650567 -2.34609695  1.04360758 -3.56787409  1.98652856  1.28248932] -229.66820687962831
[ 0.71835578 -2.3570783   1.04000887 -3.54508961  1.97003746  1.26920694] -229.66209676053103
[ 0.76144585 -2.26590256  1.03104251 -3.50914374  1.91248013  1.29394247] -229.67750809749347
[ 0.73674782 -2.33592706  0.96689825 -3.51439617  1.96429708  1.21509261] -229.67908057666625
[ 0.73237359 -2.32903137  0.99992772 -3.53670924  1.96978941  1.24894442] -229.67405714250836
[ 0.72931817 -2.30725528  0.98820205 -3.49540521  1.91014526  1.2629508 ] -229.67564879742127
[ 0.69370895 -2.2840956   0.96319019 -3.57611975  1.98242782  1.32415977] -229.67059052284412
[ 0.72164156 -2.30902716  1.03183251 -3.48670242  1.93066771  1.27133274] -229.66847402959516
[ 0.7661184  -2.29951022  0.99309898 -3.46189294  1.87555601  1.24739729] -229.67015047928274
[ 0.69239296 -2.36276341  0.97437759 -3.52482932  1.96706109  1.24738818] -229.66339621201968
[ 0.71221225 -2.33991341  1.01260991 -3.54837588  1.9883679   1.27319231] -229.65918445772263
[ 0.70365929 -2.35624248  1.02481383 -3.57486122  2.02747922  1.27831307] -229.65824011556404
[ 0.69958539 -2.32720768  1.0091796  -3.51978918  1.9479537   1.29698824] -229.65119953929656
[ 0.68319129 -2.32629584  1.01380554 -3.51132915  1.93703584  1.32101015] -229.6437218229591
[ 0.73474414 -2.3862102   1.06278892 -3.4587818   1.92018463  1.22072302] -229.65345945547557
[ 0.6518766  -2.39969558  1.05611011 -3.57197157  2.04193264  1.28859408] -229.65509963472957
[ 0.67309847 -2.42040145  1.02546912 -3.57558514  2.02390925  1.2704124 ] -229.64212615939744
[ 0.64882692 -2.47608859  1.02228742 -3.6200265   2.07053002  1.26995224] -229.64113791081454
[ 0.68782505 -2.40444025  1.09889397 -3.56919063  2.02200552  1.30187832] -229.63614100522742
[ 0.68554109 -2.42527867  1.16115216 -3.59137129  2.04947773  1.32912339] -229.6324989543378
[ 0.65092399 -2.43285882  1.0736438  -3.56435757  2.04550923  1.30003171] -229.6234878642281
[ 0.6172081  -2.47074908  1.09046126 -3.57399154  2.08324512  1.3154441 ] -229.6143436616076
[ 0.63680343 -2.47186351  1.11072131 -3.53429606  2.0066561   1.30330259] -229.6184993836742
[ 0.68356172 -2.45246639  1.09762876 -3.52462721  1.98044384  1.29792442] -229.59929501208717
[ 0.69940427 -2.47885179  1.11838809 -3.50095503  1.94969944  1.30258958] -229.57796790287713
[ 0.58891422 -2.49683229  1.10948301 -3.65187472  2.11203012  1.39308433] -229.5974367264167
[ 0.60904139 -2.61359214  1.19035887 -3.6461759   2.15351034  1.31682193] -229.61533738880752
[ 0.63014391 -2.5096339   1.23790081 -3.54619502  2.04767626  1.38350307] -229.58293815845784
[ 0.57496402 -2.58856223  1.12461895 -3.55979147  2.06812806  1.34245848] -229.56793313122455
[ 0.51967549 -2.67020401  1.10635234 -3.54400156  2.07745323  1.34912602] -229.55908848844348
[ 0.58465903 -2.60809089  1.17359349 -3.62010186  2.13454873  1.38355376] -229.55171200196756
[ 0.55858684 -2.67620459  1.20502958 -3.66300477  2.19849504  1.42367935] -229.53789667471565
[ 0.59560289 -2.48723308  1.09884616 -3.51383165  2.0026894   1.40565355] -229.534813093128
[ 0.58888363 -2.42405355  1.0530898  -3.44765952  1.92727893  1.45006937] -229.53053546907486
[ 0.57799469 -2.61451096  1.18628661 -3.54390533  2.02096589  1.45190647] -229.50396780395013
[ 0.55838798 -2.6863919   1.23419929 -3.52886222  1.98982627  1.52013765] -229.49211343519582
[ 0.59611316 -2.65161429  1.20883696 -3.42501799  1.95144627  1.41661735] -229.47434067106184
[ 0.59971262 -2.72900529  1.25851394 -3.31158962  1.87115434  1.42838385] -229.45883086660015
[ 0.5447397  -2.71193648  1.0872902  -3.45249589  1.95695949  1.44115887] -229.45131246477547
[ 0.5020376  -2.81308777  1.0119849  -3.40564633  1.91160111  1.46998676] -229.45451102036154
[ 0.42392448 -2.82041348  1.19643696 -3.48158283  2.05735633  1.56826212] -229.46013577774636
[ 0.57173627 -2.67913108  1.23850092 -3.41773006  1.92290357  1.59477105] -229.38676803054253
[ 0.59776666 -2.68359462  1.3045752  -3.35459431  1.84562874  1.71759357] -229.35122863397388
[ 0.54588486 -2.67559385  1.17300556 -3.19592336  1.68423966  1.61818913] -229.54944405494382
[ 0.55541134 -2.6760519   1.19702357 -3.54623442  2.0699312   1.47230679] -229.45797828059955
[ 0.50443063 -3.01174434  1.37292326 -3.44412691  2.00300653  1.59921158] -229.44927222213414
[ 0.5169405  -2.8578568   1.23805509 -3.33467911  1.94485261  1.55550127] -229.3601501977063
[ 0.68240934 -2.73631633  1.28969013 -3.33299059  1.83982131  1.5031232 ] -229.36551474296115
[ 0.53418677 -2.83016153  1.23800521 -3.51011745  2.01557895  1.66791457] -229.32539893875762
[ 0.50142384 -2.88073966  1.22775084 -3.60938137  2.08779125  1.78767993] -229.3047475866162
[ 0.56049221 -2.95134417  1.309738   -3.29652164  1.82275545  1.72911601] -229.3372277581977
[ 0.57641469 -2.99526216  1.49362064 -3.33826875  1.89099247  1.85624966] -229.32061961887456
[ 0.64071845 -2.68996024  1.24822004 -3.31135168  1.80760741  1.7838763 ] -229.23216216968856
[ 0.70886236 -2.52906819  1.18586843 -3.24496406  1.70990786  1.87620865] -229.2235860020553
[ 0.47155741 -2.89630554  1.29684594 -3.39314582  1.92748815  2.0043265 ] -229.2579653736659
[ 0.62189856 -2.78758131  1.36807793 -3.41094621  1.8166687   2.10155683] -229.25913321917713
[ 0.54911636 -2.99650572  1.32272539 -3.40981497  1.90623921  2.0674523 ] -229.17811703649855
[ 0.52479121 -3.15296128  1.33180049 -3.4374253   1.93654445  2.24238166] -229.17541823520602
[ 0.57449048 -2.79596187  1.32491676 -3.51485553  1.96704218  2.2270184 ] -229.163515956161
[ 0.58148961 -2.71827072  1.33250613 -3.62402247  2.03918554  2.47596959] -229.2232678630004
[ 0.5579266  -2.68561045  1.08479949 -3.53197068  1.92415506  2.22347433] -229.13600483449738
[ 0.54868255 -2.53078459  0.88038892 -3.62882165  1.94073635  2.40708667] -229.20253964341396
[ 0.6517517  -2.73508989  1.30301884 -3.2350545   1.67281088  2.43730886] -229.22752275266072
[ 0.54122803 -2.8107511   1.14100539 -3.37485909  1.89598083  2.2353493 ] -229.06769706374536
[ 0.50089276 -2.82233599  1.02746912 -3.35681554  1.93563689  2.30224553] -229.049504410357
[ 0.70134762 -2.67737035  1.1224451  -3.38054938  1.78787762  2.43188598] -229.045043908667
[ 0.81624273 -2.56790276  1.03524468 -3.37425117  1.71807235  2.64566571] -229.10313602308176
[ 0.53768531 -2.81934615  1.05608096 -3.587139    2.08091047  1.99709599] -229.0766304332793
[ 0.42351563 -3.12212718  1.12996887 -3.69128775  2.16748103  2.59849198] -229.1698685666431
[ 0.57382825 -2.48795605  0.91675961 -3.58344732  2.0178233   2.35102241] -229.16298716887673
[ 0.72520804 -2.30739978  1.04752147 -3.29363807  1.73700081  1.91242224] -229.29139648308887
[ 0.49893873 -2.91844533  1.10935702 -3.59187533  2.05986098  2.42697454] -229.07088701926185
[ 0.54904928 -2.6743929   0.78072034 -3.49574356  1.96837926  2.35054787] -229.0208370428058
[ 0.53632868 -2.61360842  0.50862213 -3.48618757  1.9690478   2.4123126 ] -229.09506584521932
[ 0.54145185 -3.04454434  1.14353107 -3.39791717  1.90111679  2.22638567] -229.0384056461453
[ 0.55186192 -2.96653457  0.99506837 -3.40470931  1.98710561  2.35490419] -228.9419555757657
[ 0.54882958 -3.10699663  0.95020281 -3.34107862  2.01858089  2.42061912] -228.95638079989237
[ 0.57682875 -2.88186167  1.00344938 -3.2887311   1.79908191  2.70055194] -229.08023760398356
[ 0.54747117 -2.83497503  1.04292306 -3.51253702  2.01045333  2.17295998] -229.00863690849084
[ 0.6317528  -2.75493907  0.92802867 -3.25754867  1.80366219  2.18600186] -228.95205586872132
[ 0.67341879 -2.82858277  0.97676975 -3.4595195   1.88389471  2.27198298] -228.9244684959347
[ 0.7596818  -2.83170616  0.95142007 -3.51087148  1.85802361  2.2568517 ] -228.94025022078424
[ 0.46365431 -3.02395255  0.83323532 -3.46210902  2.06365968  2.08904154] -228.97471715289643
[ 0.59761757 -2.64991463  0.70871744 -3.46613852  2.00460147  2.24876047] -229.02298641479163
[ 0.58357614 -2.74857205  0.81742085 -3.44908318  1.9787303   2.24316677] -228.9590798355568
[ 0.60152909 -3.04479244  1.08376167 -3.35275868  1.94078935  2.08880457] -228.92185317045397
[ 0.627769   -3.22999221  1.23528233 -3.28126624  1.92699439  1.95793293] -228.9895441278165
[ 0.62112652 -2.95414945  0.83517181 -3.28270576  1.87549394  2.23834066] -228.86059339141352
[ 0.65795419 -3.01373666  0.73129619 -3.16779013  1.80801425  2.271031  ] -228.84448029068238
[ 0.76971    -2.76176664  1.01087984 -3.23502747  1.73707246  2.38292226] -228.9168314933678
